timestamp,provider,workflow,briefId,variantId,run,ok,returncode,outPath,nodeCount,endingCount,choicesTotal,invalidChoiceTargetsPreNormalize,invalidChoiceTargetsPostNormalize,reachableNodesCount,reachableEndingsCount,maxDepth,terminalNodeRatio,uniqueTargetRatio,avgNarrationWords,lexicalDiversity,effectsTotal,endingTypeDiversity,structuralScore,branchScore,narrativeScore,totalScore
20260217_155423,openrouter,robust,bank-interrogation,Government-interrogation,1,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\bank-interrogation\robust\run001\scene.json,5,6,10,0,0,5,2,2,0.4,0.6,32.6,0.5602,5,4,9,4,7,20
20260217_155423,openrouter,robust,bank-interrogation,Government-interrogation,2,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\bank-interrogation\robust\run002\scene.json,6,6,12,0,0,6,2,3,0.3333,0.5833,35.17,0.5192,4,4,9,5,8,22
20260217_155423,openrouter,robust,halloween-fair,spooky-campsite,1,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\halloween-fair\robust\run001\scene.json,6,6,12,0,0,6,3,2,0.0,0.6667,29.83,0.4481,1,3,9,4,6,19
20260217_155423,openrouter,robust,halloween-fair,spooky-campsite,2,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\halloween-fair\robust\run002\scene.json,5,6,10,0,0,5,2,2,0.4,0.6,40.2,0.4197,0,4,9,4,6,19
20260217_155423,openrouter,robust,political-blackmail,embassy-crisis,1,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\political-blackmail\robust\run001\scene.json,5,6,10,0,0,5,2,2,0.4,0.6,30.6,0.5385,2,3,9,4,6,19
20260217_155423,openrouter,robust,political-blackmail,embassy-crisis,2,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\political-blackmail\robust\run002\scene.json,6,6,12,0,0,6,2,2,0.3333,0.5833,36.5,0.4819,1,3,9,4,7,20
20260217_155423,openrouter,robust,biotech-containment,deep-lab,1,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\biotech-containment\robust\run001\scene.json,6,6,12,0,0,6,2,2,0.1667,0.5833,36.83,0.4301,2,4,9,4,7,20
20260217_155423,openrouter,robust,biotech-containment,deep-lab,2,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\biotech-containment\robust\run002\scene.json,7,3,14,0,0,7,1,3,0.2857,0.5,37.14,0.5,3,3,8,4,7,19
20260217_155423,openrouter,robust,royal-court-intrigue,midnight-accusation,1,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\royal-court-intrigue\robust\run001\scene.json,5,7,10,0,0,5,5,2,0.2,0.9,34.8,0.4878,0,4,8,4,5,17
20260217_155423,openrouter,robust,royal-court-intrigue,midnight-accusation,2,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\royal-court-intrigue\robust\run002\scene.json,5,6,10,0,0,5,2,2,0.4,0.6,38.4,0.4822,0,3,9,4,6,19
20260217_155423,openrouter,robust,orbital-ai-failure,drift-protocol,1,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\orbital-ai-failure\robust\run001\scene.json,4,7,8,0,0,4,3,2,0.25,0.75,40.75,0.4735,0,4,8,4,6,18
20260217_155423,openrouter,robust,orbital-ai-failure,drift-protocol,2,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\orbital-ai-failure\robust\run002\scene.json,5,6,10,0,0,5,2,2,0.2,0.6,34.6,0.476,0,4,9,4,5,18
20260217_155423,openrouter,robust,cult-infiltration,hidden-ritual,1,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\cult-infiltration\robust\run001\scene.json,4,6,8,0,0,4,2,2,0.0,0.625,39.75,0.4511,0,3,9,4,6,19
20260217_155423,openrouter,robust,cult-infiltration,hidden-ritual,2,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\cult-infiltration\robust\run002\scene.json,4,6,8,0,0,4,3,2,0.25,0.75,37.5,0.488,0,3,9,4,6,19
20260217_155423,openrouter,robust,corporate-whistleblower,boardroom-hearing,1,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\corporate-whistleblower\robust\run001\scene.json,6,3,12,0,0,6,1,2,0.0,0.5,34.5,0.5249,0,3,8,3,5,16
20260217_155423,openrouter,robust,corporate-whistleblower,boardroom-hearing,2,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_155423\corporate-whistleblower\robust\run002\scene.json,5,6,10,0,0,5,2,2,0.2,0.6,38.4,0.5109,0,3,9,4,6,19
